$nWebServers, $nDb, $nSearch, $uSess, $uBiz, $uSearch, $uDb
10, 1, 1, 9.99446, 0.835022, 7.15273e-005, 0.822564
20, 1, 1, 19.9764, 0.908244, 7.73756e-005, 0.889819
10, 1, 1, 9.99454, 0.835023, 7.15274e-005, 0.822565
20, 1, 1, 19.9767, 0.908245, 7.73757e-005, 0.88982
10, 1, 1, 9.99462, 0.835025, 7.15275e-005, 0.822566
20, 1, 1, 19.9771, 0.908247, 7.73758e-005, 0.889822
10, 1, 1, 9.9947, 0.835026, 7.15276e-005, 0.822567
20, 1, 1, 19.9774, 0.908248, 7.73759e-005, 0.889823
10, 1, 1, 9.99477, 0.835027, 7.15277e-005, 0.822568
20, 1, 1, 19.9778, 0.90825, 7.7376e-005, 0.889825
10, 1, 1, 9.99485, 0.835028, 7.15278e-005, 0.822569
20, 1, 1, 19.9781, 0.908251, 7.73762e-005, 0.889826
10, 1, 1, 9.99492, 0.835029, 7.15279e-005, 0.82257
20, 1, 1, 19.9784, 0.908252, 7.73763e-005, 0.889827
10, 1, 1, 9.99499, 0.83503, 7.15279e-005, 0.822571
20, 1, 1, 19.9787, 0.908254, 7.73764e-005, 0.889828
10, 1, 1, 9.99506, 0.835031, 7.1528e-005, 0.822572
20, 1, 1, 19.979, 0.908255, 7.73765e-005, 0.88983
10, 1, 1, 9.99513, 0.835032, 7.15281e-005, 0.822573
20, 1, 1, 19.9793, 0.908256, 7.73766e-005, 0.889831
10, 1, 1, 9.9952, 0.835033, 7.15282e-005, 0.822574
20, 1, 1, 19.9796, 0.908258, 7.73767e-005, 0.889832
10, 1, 1, 9.99526, 0.835034, 7.15283e-005, 0.822575
20, 1, 1, 19.9799, 0.908259, 7.73768e-005, 0.889833
10, 1, 1, 9.99533, 0.835035, 7.15283e-005, 0.822576
20, 1, 1, 19.9802, 0.90826, 7.73769e-005, 0.889835
10, 1, 1, 9.99539, 0.835036, 7.15284e-005, 0.822577
20, 1, 1, 19.9805, 0.908261, 7.7377e-005, 0.889836
10, 1, 1, 9.99545, 0.835037, 7.15285e-005, 0.822578
20, 1, 1, 19.9807, 0.908262, 7.73771e-005, 0.889837
10, 1, 1, 9.99551, 0.835038, 7.15286e-005, 0.822578
20, 1, 1, 19.981, 0.908263, 7.73772e-005, 0.889838
10, 1, 1, 9.99557, 0.835039, 7.15286e-005, 0.822579
20, 1, 1, 19.9813, 0.908265, 7.73773e-005, 0.889839
10, 1, 1, 9.99563, 0.83504, 7.15287e-005, 0.82258
20, 1, 1, 19.9815, 0.908266, 7.73774e-005, 0.88984
10, 1, 1, 9.99569, 0.83504, 7.15288e-005, 0.822581
20, 1, 1, 19.9818, 0.908267, 7.73775e-005, 0.889841
10, 1, 1, 9.99575, 0.835041, 7.15288e-005, 0.822582
20, 1, 1, 19.982, 0.908268, 7.73776e-005, 0.889842
10, 1, 1, 9.9958, 0.835042, 7.15289e-005, 0.822582
20, 1, 1, 19.9823, 0.908269, 7.73776e-005, 0.889843
10, 1, 1, 9.99585, 0.835043, 7.1529e-005, 0.822583
20, 1, 1, 19.9825, 0.90827, 7.73777e-005, 0.889844
10, 1, 1, 9.99591, 0.835044, 7.1529e-005, 0.822584
20, 1, 1, 19.9827, 0.908271, 7.73778e-005, 0.889845
10, 1, 1, 9.99596, 0.835044, 7.15291e-005, 0.822585
20, 1, 1, 19.9829, 0.908272, 7.73779e-005, 0.889846
10, 1, 1, 9.99601, 0.835045, 7.15292e-005, 0.822585
20, 1, 1, 19.9832, 0.908273, 7.7378e-005, 0.889847
10, 1, 1, 9.99606, 0.835046, 7.15292e-005, 0.822586
20, 1, 1, 19.9834, 0.908274, 7.7378e-005, 0.889848
10, 1, 1, 9.99611, 0.835047, 7.15293e-005, 0.822587
20, 1, 1, 19.9836, 0.908275, 7.73781e-005, 0.889848
10, 1, 1, 9.99616, 0.835047, 7.15293e-005, 0.822587
20, 1, 1, 19.9838, 0.908275, 7.73782e-005, 0.889849
10, 1, 1, 9.9962, 0.835048, 7.15294e-005, 0.822588
20, 1, 1, 19.984, 0.908276, 7.73783e-005, 0.88985
10, 1, 1, 9.99625, 0.835049, 7.15294e-005, 0.822589
20, 1, 1, 19.9842, 0.908277, 7.73783e-005, 0.889851
10, 1, 1, 9.9963, 0.83505, 7.15295e-005, 0.822589
20, 1, 1, 19.9844, 0.908278, 7.73784e-005, 0.889852
10, 1, 1, 9.99634, 0.83505, 7.15296e-005, 0.82259
20, 1, 1, 19.9846, 0.908279, 7.73785e-005, 0.889853
10, 1, 1, 9.99639, 0.835051, 7.15296e-005, 0.82259
20, 1, 1, 19.9848, 0.90828, 7.73786e-005, 0.889853
10, 1, 1, 9.99643, 0.835051, 7.15297e-005, 0.822591
20, 1, 1, 19.985, 0.90828, 7.73786e-005, 0.889854
10, 1, 1, 9.99647, 0.835052, 7.15297e-005, 0.822592
20, 1, 1, 19.9852, 0.908281, 7.73787e-005, 0.889855
10, 1, 1, 9.99651, 0.835053, 7.15298e-005, 0.822592
20, 1, 1, 19.9853, 0.908282, 7.73787e-005, 0.889856
10, 1, 1, 9.99655, 0.835053, 7.15298e-005, 0.822593
20, 1, 1, 19.9855, 0.908283, 7.73788e-005, 0.889856
10, 1, 1, 9.99659, 0.835054, 7.15299e-005, 0.822593
20, 1, 1, 19.9857, 0.908283, 7.73789e-005, 0.889857
10, 1, 1, 9.99663, 0.835054, 7.15299e-005, 0.822594
20, 1, 1, 19.9859, 0.908284, 7.73789e-005, 0.889858
10, 1, 1, 9.99667, 0.835055, 7.15299e-005, 0.822594
20, 1, 1, 19.986, 0.908285, 7.7379e-005, 0.889858
10, 1, 1, 9.99671, 0.835056, 7.153e-005, 0.822595
20, 1, 1, 19.9862, 0.908286, 7.7379e-005, 0.889859
10, 1, 1, 9.99675, 0.835056, 7.153e-005, 0.822595
20, 1, 1, 19.9864, 0.908286, 7.73791e-005, 0.88986
10, 1, 1, 9.99678, 0.835057, 7.15301e-005, 0.822596
20, 1, 1, 19.9865, 0.908287, 7.73792e-005, 0.88986
10, 1, 1, 9.99682, 0.835057, 7.15301e-005, 0.822596
20, 1, 1, 19.9867, 0.908288, 7.73792e-005, 0.889861
10, 1, 1, 9.99686, 0.835058, 7.15302e-005, 0.822597
20, 1, 1, 19.9868, 0.908288, 7.73793e-005, 0.889862
10, 1, 1, 9.99689, 0.835058, 7.15302e-005, 0.822597
20, 1, 1, 19.987, 0.908289, 7.73793e-005, 0.889862
10, 1, 1, 9.99692, 0.835059, 7.15303e-005, 0.822598
20, 1, 1, 19.9871, 0.90829, 7.73794e-005, 0.889863
10, 1, 1, 9.99696, 0.835059, 7.15303e-005, 0.822598
20, 1, 1, 19.9873, 0.90829, 7.73794e-005, 0.889863
10, 1, 1, 9.99699, 0.83506, 7.15303e-005, 0.822599
20, 1, 1, 19.9874, 0.908291, 7.73795e-005, 0.889864
10, 1, 1, 9.99702, 0.83506, 7.15304e-005, 0.822599
20, 1, 1, 19.9875, 0.908291, 7.73795e-005, 0.889865
10, 1, 1, 9.99706, 0.835061, 7.15304e-005, 0.8226
20, 1, 1, 19.9877, 0.908292, 7.73796e-005, 0.889865
10, 1, 1, 9.99709, 0.835061, 7.15304e-005, 0.8226
20, 1, 1, 19.9878, 0.908293, 7.73796e-005, 0.889866
10, 1, 1, 9.99712, 0.835062, 7.15305e-005, 0.822601
20, 1, 1, 19.988, 0.908293, 7.73797e-005, 0.889866
10, 1, 1, 9.99715, 0.835062, 7.15305e-005, 0.822601
20, 1, 1, 19.9881, 0.908294, 7.73797e-005, 0.889867
10, 1, 1, 9.99718, 0.835063, 7.15306e-005, 0.822601
20, 1, 1, 19.9882, 0.908294, 7.73798e-005, 0.889867
10, 1, 1, 9.99721, 0.835063, 7.15306e-005, 0.822602
20, 1, 1, 19.9883, 0.908295, 7.73798e-005, 0.889868
10, 1, 1, 9.99724, 0.835064, 7.15306e-005, 0.822602
20, 1, 1, 19.9885, 0.908295, 7.73799e-005, 0.889868
10, 1, 1, 9.99727, 0.835064, 7.15307e-005, 0.822603
20, 1, 1, 19.9886, 0.908296, 7.73799e-005, 0.889869
10, 1, 1, 9.9973, 0.835064, 7.15307e-005, 0.822603
20, 1, 1, 19.9887, 0.908296, 7.73799e-005, 0.889869
10, 1, 1, 9.99732, 0.835065, 7.15307e-005, 0.822603
20, 1, 1, 19.9888, 0.908297, 7.738e-005, 0.88987
10, 1, 1, 9.99735, 0.835065, 7.15308e-005, 0.822604
